44.01,115
50.15,127.27
40.46,78.27
40.3,81.03
47.44,88.05
46.23,125.19
32.43,109.02
30.37,116.58
36.03,114.08
47.1,119.56
39.48,78.34
31.22,90.01
23.54,106.36
42.4,86.2
38.44,115.29
46.19,132.11
25.07,99.11
31.54,102.14
30,99.06
40.45,104.3
43.02,84.09
45.22,90.32
34.34,105.52
21.29,109.06
39.56,116.17
32.51,117.18
41.19,123.47
27.18,105.14
33.47,115.44
48.46,121.55
37.56,120.43
41.25,128.11
43.54,125.13
29.03,111.41
44.15,123.58
28.06,112.47
25.51,116.22
41.33,120.27
40.58,117.55
37.24,122.41
25.44,112.58
42.18,118.5
29.35,106.28
25.01,101.31
31.12,107.3
37.51,95.22
28.27,121.53
25.42,100.11
38.54,121.38
40.03,124.2
19.31,109.35
29.03,100.18
33.45,99.39
40.05,113.25
30.59,101.07
31.44,98.34
37.22,97.22
31.25,95.36
28.27,98.53
30.02,122.07
35.05,115.31
19.06,108.37
39.5,109.59
32.51,120.17
36.18,98.06
43.22,128.12
40.09,94.41
42.11,116.28
25.5,107.33
41.57,101.04
29.31,103.2
30.17,109.28
43.39,112
32.02,110.46
31.01,109.32
41.12,116.38
34.31,107.23
35.15,117.57
23.53,113.31
27.2,120.12
47.14,131.59
32.52,115.44
46.59,89.31
26.05,119.17
37.2,100.08
34.51,119.08
25.52,115
30.44,106.07
23.03,112.28
31.37,100
23.33,99.24
36.25,94.54
41.22,102.22
26.51,116.2
24.04,105.04
23.13,113.29
25.2,110.18
35.35,100.45
23.24,110.05
26.35,106.44
32.1,115.37
20,110.15
49.15,119.42
41.27,106.23
47.26,126.52
36.46,121.11
39.03,123.13
41.34,108.31
42.49,93.31
30.14,120.1
33.04,107.02
45.56,126.34
24.42,108.02
31.47,117.18
34.44,101.36
22,120.45
39.21,111.12
23.48,114.44
35,102.54
46.48,85.44
40.51,111.34
28.37,121.25
37.08,79.56
34.29,110.05
41.54,114
42.59,126.45
40.25,115.3
33.38,118.56
35.23,105
30.08,118.09
26.39,102.15
37.3,117.32
26.24,103.15
45.46,132.58
51.44,126.38
31.24,116.2
39.47,105.45
44.34,120.54
41.09,126.13
27.07,114.58
22.37,101.49
37.02,111.55
36.36,117.03
29.18,117.12
44.34,82.49
34.26,108.58
22,100.47
30.21,112.09
41.02,113.04
41.08,121.07
29,101.3
39.46,98.29
25.43,118.06
45.18,130.55
42.24,112.54
22.34,99.56
31.35,105.58
32.26,111.44
38.5,93.23
39.26,118.54
29.4,91.08
28.25,92.28
30.41,107.48
24.22,114.29
24.48,112.22
26.5,100.13
23.57,100.13
43.59,119.24
26.14,111.37
37.2,116.34
28.51,121.08
40.44,107.22
41.48,126.53
43.38,118.02
37.3,111.06
28.27,119.55
30,100.16
24.21,109.24
31.26,119.29
37.37,120.19
22.22,106.45
29.35,115.59
25.26,106.46
34.04,111.04
32.04,121.36
24.32,103.46
29.24,110.1
16.32,111.37
26.58,108.4
18.13,109.35
32.17,100.2
38.26,77.16
21.44,112.46
31.25,121.27
45.13,127.58
23.24,116.41
22.47,115.22
24.4,113.36
27.2,117.28
27.11,111.27
30.44,122.27
29.36,120.49
41.44,123.31
22.33,114.06
33.45,120.18
38.04,114.21
29.12,121.57
32.3,80.05
43.13,91.44
22.46,100.59
27.57,108.15
43.11,124.2
31.53,93.47
32.4,103.36
44.23,131.09
49.26,127.21
46.44,83
36.15,117.06
25.02,121.31
22.45,121.09
46.24,123.27
23,120.13
37.37,112.35
24.09,120.41
39.39,118.06
39,83.4
24.59,98.3
39.06,117.1
40.38,87.42
28.38,87.05
26.1,109.47
45.58,128.44
43.36,122.16
50.29,121.41
34.12,92.26
42.57,89.13
32.56,113.55
31.1,112.34
37.29,105.41
27.27,109.41
34.43,113.39
27.2,103.45
25.35,103.5
21.09,110.18
39.05,100.17
42.25,122.32
40.47,114.53
25.18,117.24
32.09,112.4
32.54,95.18
33,96.58
37.04,112.59
35.06,111.03
40.16,97.02
38.16,109.47
29.23,113.05
38.45,112.42
25.44,101.52
28.28,110.24
23.36,101.59
35.52,104.09
39.5,114.34
28.5,108.46
9.32,112.53
25.58,117.21
36.11,118.09
43.57,81.2
40.4,122.1
38.28,106.12
27.48,114.23
47.42,128.5
30.44,111.22
28.48,104.36
35.34,116.51
42.52,129.3
21.5,111.58
35.29,112.24
37.48,107.23
36.35,109.27
29.59,103
34.17,117.09
24.57,115.39
29.02,114.35
16.5,112.2
22.21,110.56
32.08,114.03
36.14,115.4
36.37,101.46
37.1,114.21
25.26,105.11
48.4,116.48
43.57,116.07
33.47,114.31
29.15,88.53
35.44,107.38
27.54,102.16
49.12,123.43
24.29,118.05
34.18,108.56
44.35,117.36
30.57,88.38
23.29,111.18
27.46,118.02
38.57,88.38
37.12,102.52
31.09,118.35
30.36,114.03
26.44,110.38
33.24,104.55
35.13,93.05
43.47,87.39
30.45,103.52
26.52,104.17
36.46,119.11
41.56,117.45
32.04,108.02
45.31,116.58
39.02,88.1
33.35,102.58
24,97.51
27.47,120.39
25.58,108.32
35.26,119.32
34.08,95.47
28.58,118.52
44.01,89.34
47.23,123.55
19.14,110.28
21.57,108.37
42.04,124.52
40.24,118.57
36.04,120.2
45.05,124.52
31.09,97.1
27.55,118.32
38.05,116.33
37.37,78.17
32.25,104.31
25.31,119.47
35.33,106.4
25.38,122.04
27.44,89.05
39.06,107.59
29.34,94.28
49.1,125.14
28.47,105.23
44.37,114.09
23.18,105.57
43.36,95.08
27.18,112.42
33.06,112.29
10.23,114.22
26.38,118.09
22.38,108.13
31.56,118.54
27.35,116.39
28.36,115.55
31.29,92.04
44.3,129.4
52.58,122.31
38.38,103.05
31.27,104.44
23.26,103.19
24.12,110.31
21.3,101.35
34.49,112.26
24.17,116.04
41.48,97.02
38.15,90.51
42.32,110.08
34.55,98.13
31.08,114.57
48.03,86.21
30.03,101.58
45.37,84.51
39.29,75.45
48.03,125.53
41.43,85.49
40.43,124.47
25.01,102.41
41.43,82.57
